,x_coord,y_coord,image_source_x,water_percentage,date,year,image_source_y,inland_aquaculture,shrimp_rice_farming,single_rice_cropping,triple_rice_cropping,double_rice_cropping_dry,double_rice_cropping_rain,others,date_time
47440,10,5,Flood_2000_153.tif,0.2,153,2000,Landuse_2000.tif,0.09,0.02,0.01,0.02,0.0,0.04,0.81,2000-06-01
6539,2,12,Flood_2000_153.tif,0.58,153,2000,Landuse_2000.tif,0.6,0.05,0.0,0.01,0.0,0.0,0.34,2000-06-01
6537,2,7,Flood_2000_153.tif,0.3,153,2000,Landuse_2000.tif,0.05,0.05,0.04,0.0,0.0,0.04,0.82,2000-06-01
9994,3,1,Flood_2000_153.tif,0.09,153,2000,Landuse_2000.tif,0.0,0.02,0.05,0.05,0.63,0.0,0.26,2000-06-01
43627,9,5,Flood_2000_153.tif,0.05,153,2000,Landuse_2000.tif,0.01,0.01,0.0,0.41,0.0,0.04,0.54,2000-06-01
6518,2,8,Flood_2000_153.tif,0.19,153,2000,Landuse_2000.tif,0.02,0.09,0.04,0.0,0.0,0.0,0.84,2000-06-01
21218,5,9,Flood_2000_153.tif,0.46,153,2000,Landuse_2000.tif,0.09,0.02,0.01,0.05,0.0,0.54,0.29,2000-06-01
31363,6,5,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.01,0.0,0.0,0.28,0.18,0.03,0.5,2000-06-01
10020,3,3,Flood_2000_153.tif,0.0,153,2000,Landuse_2000.tif,0.0,0.01,0.02,0.01,0.64,0.0,0.32,2000-06-01
18434,4,1,Flood_2000_153.tif,0.1,153,2000,Landuse_2000.tif,0.02,0.03,0.01,0.11,0.54,0.01,0.28,2000-06-01
18465,4,2,Flood_2000_153.tif,0.05,153,2000,Landuse_2000.tif,0.0,0.03,0.01,0.06,0.65,0.01,0.25,2000-06-01
6474,2,13,Flood_2000_153.tif,0.31,153,2000,Landuse_2000.tif,0.4,0.02,0.0,0.0,0.0,0.0,0.57,2000-06-01
43606,9,7,Flood_2000_153.tif,0.28,153,2000,Landuse_2000.tif,0.09,0.03,0.01,0.05,0.0,0.25,0.56,2000-06-01
21208,5,10,Flood_2000_153.tif,0.73,153,2000,Landuse_2000.tif,0.51,0.04,0.09,0.0,0.0,0.14,0.22,2000-06-01
10073,3,9,Flood_2000_153.tif,0.35,153,2000,Landuse_2000.tif,0.2,0.11,0.02,0.0,0.0,0.02,0.65,2000-06-01
43598,9,6,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.36,0.0,0.19,0.45,2000-06-01
43587,9,2,Flood_2000_153.tif,0.03,153,2000,Landuse_2000.tif,0.0,0.11,0.14,0.0,0.33,0.0,0.42,2000-06-01
43580,9,1,Flood_2000_153.tif,0.06,153,2000,Landuse_2000.tif,0.0,0.03,0.1,0.0,0.46,0.0,0.41,2000-06-01
10081,3,8,Flood_2000_153.tif,0.11,153,2000,Landuse_2000.tif,0.0,0.02,0.02,0.0,0.0,0.02,0.92,2000-06-01
43567,9,4,Flood_2000_153.tif,0.16,153,2000,Landuse_2000.tif,0.05,0.04,0.0,0.09,0.01,0.01,0.8,2000-06-01
47383,10,2,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.0,0.0,0.02,0.19,0.28,0.06,0.45,2000-06-01
10085,3,10,Flood_2000_153.tif,0.22,153,2000,Landuse_2000.tif,0.06,0.07,0.09,0.05,0.05,0.19,0.49,2000-06-01
21107,5,8,Flood_2000_153.tif,0.37,153,2000,Landuse_2000.tif,0.07,0.04,0.02,0.16,0.0,0.21,0.49,2000-06-01
10101,3,11,Flood_2000_153.tif,0.24,153,2000,Landuse_2000.tif,0.15,0.08,0.05,0.0,0.0,0.04,0.68,2000-06-01
21087,5,2,Flood_2000_153.tif,0.07,153,2000,Landuse_2000.tif,0.0,0.03,0.02,0.15,0.54,0.02,0.25,2000-06-01
36574,7,8,Flood_2000_153.tif,0.27,153,2000,Landuse_2000.tif,0.05,0.05,0.01,0.05,0.0,0.43,0.41,2000-06-01
10106,3,12,Flood_2000_153.tif,0.42,153,2000,Landuse_2000.tif,0.56,0.04,0.0,0.0,0.0,0.0,0.39,2000-06-01
18334,4,12,Flood_2000_153.tif,0.07,153,2000,Landuse_2000.tif,0.06,0.03,0.0,0.03,0.0,0.01,0.87,2000-06-01
21269,5,6,Flood_2000_153.tif,0.0,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.09,0.6,0.01,0.3,2000-06-01
6546,2,11,Flood_2000_153.tif,0.15,153,2000,Landuse_2000.tif,0.08,0.03,0.05,0.02,0.0,0.04,0.78,2000-06-01
6554,2,9,Flood_2000_153.tif,0.17,153,2000,Landuse_2000.tif,0.0,0.05,0.0,0.0,0.0,0.02,0.92,2000-06-01
9981,3,2,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.02,0.63,0.01,0.33,2000-06-01
47400,10,0,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.0,0.01,0.01,0.15,0.14,0.01,0.69,2000-06-01
6753,2,4,Flood_2000_153.tif,0.15,153,2000,Landuse_2000.tif,0.01,0.02,0.15,0.02,0.21,0.07,0.52,2000-06-01
47310,10,6,Flood_2000_153.tif,0.11,153,2000,Landuse_2000.tif,0.02,0.01,0.06,0.08,0.0,0.42,0.41,2000-06-01
6738,2,3,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.01,0.1,0.06,0.04,0.26,0.01,0.53,2000-06-01
47303,10,7,Flood_2000_153.tif,0.2,153,2000,Landuse_2000.tif,0.13,0.02,0.0,0.01,0.0,0.37,0.46,2000-06-01
31685,6,7,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.32,0.24,0.01,0.43,2000-06-01
47409,10,1,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.0,0.01,0.04,0.03,0.21,0.0,0.7,2000-06-01
47423,10,4,Flood_2000_153.tif,0.06,153,2000,Landuse_2000.tif,0.01,0.02,0.0,0.03,0.0,0.01,0.93,2000-06-01
31633,6,8,Flood_2000_153.tif,0.19,153,2000,Landuse_2000.tif,0.0,0.0,0.01,0.36,0.0,0.3,0.32,2000-06-01
37200,7,4,Flood_2000_153.tif,0.05,153,2000,Landuse_2000.tif,0.01,0.01,0.0,0.09,0.45,0.0,0.43,2000-06-01
36171,7,5,Flood_2000_153.tif,0.13,153,2000,Landuse_2000.tif,0.04,0.02,0.0,0.19,0.07,0.01,0.66,2000-06-01
47444,10,3,Flood_2000_153.tif,0.06,153,2000,Landuse_2000.tif,0.02,0.02,0.0,0.24,0.02,0.0,0.7,2000-06-01
1070,1,3,Flood_2000_153.tif,0.05,153,2000,Landuse_2000.tif,0.01,0.16,0.15,0.0,0.09,0.0,0.59,2000-06-01
37082,7,2,Flood_2000_153.tif,0.04,153,2000,Landuse_2000.tif,0.0,0.01,0.06,0.08,0.63,0.0,0.22,2000-06-01
31594,6,3,Flood_2000_153.tif,0.09,153,2000,Landuse_2000.tif,0.01,0.02,0.01,0.15,0.38,0.0,0.43,2000-06-01
21346,5,7,Flood_2000_153.tif,0.04,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.32,0.06,0.03,0.58,2000-06-01
18421,4,3,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.0,0.0,0.01,0.01,0.8,0.0,0.19,2000-06-01
31522,6,1,Flood_2000_153.tif,0.06,153,2000,Landuse_2000.tif,0.0,0.02,0.24,0.01,0.51,0.0,0.21,2000-06-01
31512,6,2,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.0,0.0,0.01,0.01,0.82,0.0,0.16,2000-06-01
1103,1,4,Flood_2000_153.tif,0.13,153,2000,Landuse_2000.tif,0.03,0.05,0.09,0.0,0.03,0.01,0.78,2000-06-01
21312,5,5,Flood_2000_153.tif,0.0,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.22,0.43,0.08,0.27,2000-06-01
9940,3,5,Flood_2000_153.tif,0.33,153,2000,Landuse_2000.tif,0.0,0.0,0.01,0.09,0.56,0.06,0.28,2000-06-01
36604,7,9,Flood_2000_153.tif,0.43,153,2000,Landuse_2000.tif,0.13,0.04,0.2,0.0,0.0,0.28,0.35,2000-06-01
9957,3,6,Flood_2000_153.tif,0.24,153,2000,Landuse_2000.tif,0.0,0.02,0.0,0.08,0.03,0.5,0.36,2000-06-01
9963,3,7,Flood_2000_153.tif,0.19,153,2000,Landuse_2000.tif,0.02,0.04,0.01,0.09,0.0,0.29,0.54,2000-06-01
31399,6,4,Flood_2000_153.tif,0.11,153,2000,Landuse_2000.tif,0.01,0.02,0.01,0.16,0.33,0.02,0.45,2000-06-01
6568,2,10,Flood_2000_153.tif,0.15,153,2000,Landuse_2000.tif,0.03,0.01,0.02,0.15,0.01,0.08,0.7,2000-06-01
9979,3,4,Flood_2000_153.tif,0.04,153,2000,Landuse_2000.tif,0.0,0.0,0.01,0.02,0.84,0.0,0.13,2000-06-01
36647,7,6,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.21,0.09,0.0,0.69,2000-06-01
43488,9,8,Flood_2000_153.tif,0.28,153,2000,Landuse_2000.tif,0.07,0.02,0.03,0.05,0.0,0.53,0.3,2000-06-01
43556,9,3,Flood_2000_153.tif,0.03,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.34,0.05,0.0,0.6,2000-06-01
31747,6,6,Flood_2000_153.tif,0.0,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.29,0.39,0.03,0.28,2000-06-01
18154,4,9,Flood_2000_153.tif,0.44,153,2000,Landuse_2000.tif,0.39,0.08,0.01,0.02,0.01,0.16,0.32,2000-06-01
20876,5,3,Flood_2000_153.tif,0.1,153,2000,Landuse_2000.tif,0.01,0.03,0.01,0.18,0.36,0.02,0.38,2000-06-01
41794,8,3,Flood_2000_153.tif,0.05,153,2000,Landuse_2000.tif,0.0,0.01,0.0,0.44,0.1,0.0,0.45,2000-06-01
41932,8,9,Flood_2000_153.tif,0.46,153,2000,Landuse_2000.tif,0.4,0.05,0.1,0.0,0.0,0.01,0.44,2000-06-01
37036,7,0,Flood_2000_153.tif,0.04,153,2000,Landuse_2000.tif,0.0,0.01,0.03,0.17,0.54,0.06,0.19,2000-06-01
41699,8,7,Flood_2000_153.tif,0.07,153,2000,Landuse_2000.tif,0.01,0.0,0.0,0.17,0.02,0.37,0.44,2000-06-01
36459,7,7,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.26,0.19,0.09,0.46,2000-06-01
18542,4,6,Flood_2000_153.tif,0.16,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.15,0.59,0.02,0.24,2000-06-01
41672,8,8,Flood_2000_153.tif,0.4,153,2000,Landuse_2000.tif,0.08,0.05,0.04,0.0,0.0,0.5,0.34,2000-06-01
51788,11,3,Flood_2000_153.tif,0.05,153,2000,Landuse_2000.tif,0.06,0.01,0.02,0.33,0.0,0.25,0.33,2000-06-01
18141,4,10,Flood_2000_153.tif,0.53,153,2000,Landuse_2000.tif,0.37,0.04,0.1,0.0,0.0,0.22,0.27,2000-06-01
37369,7,3,Flood_2000_153.tif,0.05,153,2000,Landuse_2000.tif,0.0,0.01,0.0,0.12,0.46,0.0,0.41,2000-06-01
41737,8,2,Flood_2000_153.tif,0.04,153,2000,Landuse_2000.tif,0.0,0.0,0.05,0.11,0.48,0.0,0.36,2000-06-01
51871,11,5,Flood_2000_153.tif,0.25,153,2000,Landuse_2000.tif,0.08,0.04,0.1,0.25,0.0,0.06,0.46,2000-06-01
18566,4,4,Flood_2000_153.tif,0.03,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.0,0.75,0.0,0.24,2000-06-01
41745,8,1,Flood_2000_153.tif,0.1,153,2000,Landuse_2000.tif,0.0,0.0,0.04,0.06,0.56,0.05,0.29,2000-06-01
55289,12,3,Flood_2000_153.tif,0.15,153,2000,Landuse_2000.tif,0.1,0.01,0.02,0.26,0.0,0.33,0.27,2000-06-01
18136,4,8,Flood_2000_153.tif,0.09,153,2000,Landuse_2000.tif,0.05,0.01,0.01,0.02,0.0,0.36,0.56,2000-06-01
55301,12,4,Flood_2000_153.tif,0.46,153,2000,Landuse_2000.tif,0.25,0.03,0.12,0.02,0.0,0.14,0.44,2000-06-01
28838,6,0,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.0,0.0,0.03,0.26,0.48,0.08,0.15,2000-06-01
51821,11,2,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.02,0.0,0.79,0.18,2000-06-01
41766,8,4,Flood_2000_153.tif,0.09,153,2000,Landuse_2000.tif,0.03,0.02,0.0,0.26,0.09,0.03,0.57,2000-06-01
37058,7,1,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.0,0.0,0.04,0.0,0.51,0.0,0.44,2000-06-01
41631,8,6,Flood_2000_153.tif,0.27,153,2000,Landuse_2000.tif,0.08,0.04,0.0,0.2,0.0,0.01,0.67,2000-06-01
18175,4,7,Flood_2000_153.tif,0.12,153,2000,Landuse_2000.tif,0.0,0.02,0.0,0.2,0.03,0.2,0.55,2000-06-01
30952,6,9,Flood_2000_153.tif,0.35,153,2000,Landuse_2000.tif,0.03,0.02,0.07,0.09,0.0,0.55,0.24,2000-06-01
18307,4,11,Flood_2000_153.tif,0.56,153,2000,Landuse_2000.tif,0.61,0.01,0.01,0.0,0.0,0.05,0.32,2000-06-01
51840,11,7,Flood_2000_153.tif,0.15,153,2000,Landuse_2000.tif,0.38,0.02,0.06,0.0,0.0,0.06,0.48,2000-06-01
18525,4,5,Flood_2000_153.tif,0.08,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.01,0.8,0.0,0.2,2000-06-01
20972,5,1,Flood_2000_153.tif,0.06,153,2000,Landuse_2000.tif,0.0,0.02,0.03,0.04,0.69,0.0,0.22,2000-06-01
51834,11,6,Flood_2000_153.tif,0.42,153,2000,Landuse_2000.tif,0.36,0.07,0.09,0.0,0.0,0.08,0.4,2000-06-01
20936,5,4,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.17,0.54,0.03,0.25,2000-06-01
41655,8,5,Flood_2000_153.tif,0.03,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.31,0.02,0.16,0.5,2000-06-01
51829,11,4,Flood_2000_153.tif,0.17,153,2000,Landuse_2000.tif,0.04,0.03,0.01,0.13,0.0,0.08,0.72,2000-06-01
557,0,3,Flood_2000_153.tif,0.26,153,2000,Landuse_2000.tif,0.21,0.04,0.01,0.01,0.02,0.0,0.71,2000-06-01
36220,7,5,Flood_2000_161.tif,0.12,161,2000,Landuse_2000.tif,0.04,0.02,0.0,0.19,0.07,0.01,0.66,2000-06-09
9825,3,5,Flood_2000_161.tif,0.16,161,2000,Landuse_2000.tif,0.0,0.0,0.01,0.09,0.56,0.06,0.28,2000-06-09
22206,5,8,Flood_2000_161.tif,0.32,161,2000,Landuse_2000.tif,0.07,0.04,0.02,0.16,0.0,0.21,0.49,2000-06-09
9833,3,8,Flood_2000_161.tif,0.06,161,2000,Landuse_2000.tif,0.0,0.02,0.02,0.0,0.0,0.02,0.92,2000-06-09
9845,3,7,Flood_2000_161.tif,0.07,161,2000,Landuse_2000.tif,0.02,0.04,0.01,0.09,0.0,0.29,0.54,2000-06-09
43766,9,8,Flood_2000_161.tif,0.18,161,2000,Landuse_2000.tif,0.07,0.02,0.03,0.05,0.0,0.53,0.3,2000-06-09
30887,6,5,Flood_2000_161.tif,0.02,161,2000,Landuse_2000.tif,0.01,0.0,0.0,0.28,0.18,0.03,0.5,2000-06-09
9807,3,9,Flood_2000_161.tif,0.27,161,2000,Landuse_2000.tif,0.2,0.11,0.02,0.0,0.0,0.02,0.65,2000-06-09
30933,6,1,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.02,0.24,0.01,0.51,0.0,0.21,2000-06-09
36671,7,4,Flood_2000_161.tif,0.05,161,2000,Landuse_2000.tif,0.01,0.01,0.0,0.09,0.45,0.0,0.43,2000-06-09
36525,7,1,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.04,0.0,0.51,0.0,0.44,2000-06-09
30940,6,0,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.0,0.03,0.26,0.48,0.08,0.15,2000-06-09
51694,11,2,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.02,0.0,0.79,0.18,2000-06-09
9784,3,12,Flood_2000_161.tif,0.51,161,2000,Landuse_2000.tif,0.56,0.04,0.0,0.0,0.0,0.0,0.39,2000-06-09
9779,3,10,Flood_2000_161.tif,0.2,161,2000,Landuse_2000.tif,0.06,0.07,0.09,0.05,0.05,0.19,0.49,2000-06-09
9771,3,11,Flood_2000_161.tif,0.28,161,2000,Landuse_2000.tif,0.15,0.08,0.05,0.0,0.0,0.04,0.68,2000-06-09
30978,6,3,Flood_2000_161.tif,0.08,161,2000,Landuse_2000.tif,0.01,0.02,0.01,0.15,0.38,0.0,0.43,2000-06-09
9816,3,6,Flood_2000_161.tif,0.09,161,2000,Landuse_2000.tif,0.0,0.02,0.0,0.08,0.03,0.5,0.36,2000-06-09
47344,10,0,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.01,0.01,0.15,0.14,0.01,0.69,2000-06-09
51875,11,7,Flood_2000_161.tif,0.3,161,2000,Landuse_2000.tif,0.38,0.02,0.06,0.0,0.0,0.06,0.48,2000-06-09
36507,7,2,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.01,0.06,0.08,0.63,0.0,0.22,2000-06-09
31198,6,7,Flood_2000_161.tif,0.05,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.32,0.24,0.01,0.43,2000-06-09
31241,6,6,Flood_2000_161.tif,0.02,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.29,0.39,0.03,0.28,2000-06-09
18297,4,2,Flood_2000_161.tif,0.02,161,2000,Landuse_2000.tif,0.0,0.03,0.01,0.06,0.65,0.01,0.25,2000-06-09
10092,3,1,Flood_2000_161.tif,0.03,161,2000,Landuse_2000.tif,0.0,0.02,0.05,0.05,0.63,0.0,0.26,2000-06-09
22005,5,10,Flood_2000_161.tif,0.63,161,2000,Landuse_2000.tif,0.51,0.04,0.09,0.0,0.0,0.14,0.22,2000-06-09
36367,7,8,Flood_2000_161.tif,0.18,161,2000,Landuse_2000.tif,0.05,0.05,0.01,0.05,0.0,0.43,0.41,2000-06-09
18987,4,4,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.0,0.75,0.0,0.24,2000-06-09
19067,4,8,Flood_2000_161.tif,0.05,161,2000,Landuse_2000.tif,0.05,0.01,0.01,0.02,0.0,0.36,0.56,2000-06-09
18966,4,3,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.01,0.01,0.8,0.0,0.19,2000-06-09
536,0,3,Flood_2000_161.tif,0.14,161,2000,Landuse_2000.tif,0.21,0.04,0.01,0.01,0.02,0.0,0.71,2000-06-09
10057,3,4,Flood_2000_161.tif,0.02,161,2000,Landuse_2000.tif,0.0,0.0,0.01,0.02,0.84,0.0,0.13,2000-06-09
36416,7,9,Flood_2000_161.tif,0.42,161,2000,Landuse_2000.tif,0.13,0.04,0.2,0.0,0.0,0.28,0.35,2000-06-09
31325,6,8,Flood_2000_161.tif,0.28,161,2000,Landuse_2000.tif,0.0,0.0,0.01,0.36,0.0,0.3,0.32,2000-06-09
19141,4,7,Flood_2000_161.tif,0.07,161,2000,Landuse_2000.tif,0.0,0.02,0.0,0.2,0.03,0.2,0.55,2000-06-09
10037,3,2,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.02,0.63,0.01,0.33,2000-06-09
10024,3,3,Flood_2000_161.tif,0.04,161,2000,Landuse_2000.tif,0.0,0.01,0.02,0.01,0.64,0.0,0.32,2000-06-09
19090,4,6,Flood_2000_161.tif,0.04,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.15,0.59,0.02,0.24,2000-06-09
31090,6,9,Flood_2000_161.tif,0.23,161,2000,Landuse_2000.tif,0.03,0.02,0.07,0.09,0.0,0.55,0.24,2000-06-09
18885,4,9,Flood_2000_161.tif,0.44,161,2000,Landuse_2000.tif,0.39,0.08,0.01,0.02,0.01,0.16,0.32,2000-06-09
18347,4,1,Flood_2000_161.tif,0.07,161,2000,Landuse_2000.tif,0.02,0.03,0.01,0.11,0.54,0.01,0.28,2000-06-09
51780,11,5,Flood_2000_161.tif,0.2,161,2000,Landuse_2000.tif,0.08,0.04,0.1,0.25,0.0,0.06,0.46,2000-06-09
51764,11,4,Flood_2000_161.tif,0.15,161,2000,Landuse_2000.tif,0.04,0.03,0.01,0.13,0.0,0.08,0.72,2000-06-09
22147,5,7,Flood_2000_161.tif,0.08,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.32,0.06,0.03,0.58,2000-06-09
36491,7,0,Flood_2000_161.tif,0.02,161,2000,Landuse_2000.tif,0.0,0.01,0.03,0.17,0.54,0.06,0.19,2000-06-09
51748,11,6,Flood_2000_161.tif,0.35,161,2000,Landuse_2000.tif,0.36,0.07,0.09,0.0,0.0,0.08,0.4,2000-06-09
22173,5,9,Flood_2000_161.tif,0.25,161,2000,Landuse_2000.tif,0.09,0.02,0.01,0.05,0.0,0.54,0.29,2000-06-09
30824,6,4,Flood_2000_161.tif,0.09,161,2000,Landuse_2000.tif,0.01,0.02,0.01,0.16,0.33,0.02,0.45,2000-06-09
36244,7,6,Flood_2000_161.tif,0.02,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.21,0.09,0.0,0.69,2000-06-09
18926,4,5,Flood_2000_161.tif,0.03,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.01,0.8,0.0,0.2,2000-06-09
31020,6,2,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.0,0.01,0.01,0.82,0.0,0.16,2000-06-09
36183,7,7,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.26,0.19,0.09,0.46,2000-06-09
51703,11,3,Flood_2000_161.tif,0.05,161,2000,Landuse_2000.tif,0.06,0.01,0.02,0.33,0.0,0.25,0.33,2000-06-09
41908,8,1,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.04,0.06,0.56,0.05,0.29,2000-06-09
41927,8,2,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.05,0.11,0.48,0.0,0.36,2000-06-09
18648,4,12,Flood_2000_161.tif,0.07,161,2000,Landuse_2000.tif,0.06,0.03,0.0,0.03,0.0,0.01,0.87,2000-06-09
47579,10,2,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.0,0.02,0.19,0.28,0.06,0.45,2000-06-09
41966,8,4,Flood_2000_161.tif,0.08,161,2000,Landuse_2000.tif,0.03,0.02,0.0,0.26,0.09,0.03,0.57,2000-06-09
47569,10,4,Flood_2000_161.tif,0.09,161,2000,Landuse_2000.tif,0.01,0.02,0.0,0.03,0.0,0.01,0.93,2000-06-09
41980,8,3,Flood_2000_161.tif,0.05,161,2000,Landuse_2000.tif,0.0,0.01,0.0,0.44,0.1,0.0,0.45,2000-06-09
6475,2,12,Flood_2000_161.tif,0.54,161,2000,Landuse_2000.tif,0.6,0.05,0.0,0.01,0.0,0.0,0.34,2000-06-09
6620,2,10,Flood_2000_161.tif,0.08,161,2000,Landuse_2000.tif,0.03,0.01,0.02,0.15,0.01,0.08,0.7,2000-06-09
47552,10,3,Flood_2000_161.tif,0.07,161,2000,Landuse_2000.tif,0.02,0.02,0.0,0.24,0.02,0.0,0.7,2000-06-09
43466,9,2,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.11,0.14,0.0,0.33,0.0,0.42,2000-06-09
6609,2,11,Flood_2000_161.tif,0.12,161,2000,Landuse_2000.tif,0.08,0.03,0.05,0.02,0.0,0.04,0.78,2000-06-09
43476,9,3,Flood_2000_161.tif,0.03,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.34,0.05,0.0,0.6,2000-06-09
6664,2,7,Flood_2000_161.tif,0.17,161,2000,Landuse_2000.tif,0.05,0.05,0.04,0.0,0.0,0.04,0.82,2000-06-09
6604,2,13,Flood_2000_161.tif,0.34,161,2000,Landuse_2000.tif,0.4,0.02,0.0,0.0,0.0,0.0,0.57,2000-06-09
43485,9,1,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.0,0.03,0.1,0.0,0.46,0.0,0.41,2000-06-09
47527,10,6,Flood_2000_161.tif,0.09,161,2000,Landuse_2000.tif,0.02,0.01,0.06,0.08,0.0,0.42,0.41,2000-06-09
6586,2,8,Flood_2000_161.tif,0.16,161,2000,Landuse_2000.tif,0.02,0.09,0.04,0.0,0.0,0.0,0.84,2000-06-09
47463,10,1,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.01,0.04,0.03,0.21,0.0,0.7,2000-06-09
43521,9,6,Flood_2000_161.tif,0.02,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.36,0.0,0.19,0.45,2000-06-09
6572,2,9,Flood_2000_161.tif,0.07,161,2000,Landuse_2000.tif,0.0,0.05,0.0,0.0,0.0,0.02,0.92,2000-06-09
43533,9,4,Flood_2000_161.tif,0.16,161,2000,Landuse_2000.tif,0.05,0.04,0.0,0.09,0.01,0.01,0.8,2000-06-09
41364,8,9,Flood_2000_161.tif,0.42,161,2000,Landuse_2000.tif,0.4,0.05,0.1,0.0,0.0,0.01,0.44,2000-06-09
43641,9,7,Flood_2000_161.tif,0.2,161,2000,Landuse_2000.tif,0.09,0.03,0.01,0.05,0.0,0.25,0.56,2000-06-09
6485,2,3,Flood_2000_161.tif,0.01,161,2000,Landuse_2000.tif,0.01,0.1,0.06,0.04,0.26,0.01,0.53,2000-06-09
43547,9,5,Flood_2000_161.tif,0.06,161,2000,Landuse_2000.tif,0.01,0.01,0.0,0.41,0.0,0.04,0.54,2000-06-09
1255,1,4,Flood_2000_161.tif,0.06,161,2000,Landuse_2000.tif,0.03,0.05,0.09,0.0,0.03,0.01,0.78,2000-06-09
47503,10,7,Flood_2000_161.tif,0.15,161,2000,Landuse_2000.tif,0.13,0.02,0.0,0.01,0.0,0.37,0.46,2000-06-09
1352,1,3,Flood_2000_161.tif,0.03,161,2000,Landuse_2000.tif,0.01,0.16,0.15,0.0,0.09,0.0,0.59,2000-06-09
36731,7,3,Flood_2000_161.tif,0.04,161,2000,Landuse_2000.tif,0.0,0.01,0.0,0.12,0.46,0.0,0.41,2000-06-09
6650,2,4,Flood_2000_161.tif,0.08,161,2000,Landuse_2000.tif,0.01,0.02,0.15,0.02,0.21,0.07,0.52,2000-06-09
47626,10,5,Flood_2000_161.tif,0.2,161,2000,Landuse_2000.tif,0.09,0.02,0.01,0.02,0.0,0.04,0.81,2000-06-09
20434,5,2,Flood_2000_161.tif,0.05,161,2000,Landuse_2000.tif,0.0,0.03,0.02,0.15,0.54,0.02,0.25,2000-06-09
20498,5,1,Flood_2000_161.tif,0.03,161,2000,Landuse_2000.tif,0.0,0.02,0.03,0.04,0.69,0.0,0.22,2000-06-09
20580,5,5,Flood_2000_161.tif,0.0,161,2000,Landuse_2000.tif,0.0,0.0,0.0,0.22,0.43,0.08,0.27,2000-06-09
