x_coord,y_coord,image_source,inland_aquaculture,shrimp_rice_farming,single_rice_cropping,triple_rice_cropping,double_rice_cropping_dry,double_rice_cropping_rain,others,year
3,10,Landuse_2013.tif,0.45,0.02,0.03,0.02,0.02,0.09,0.37,2013
4,10,Landuse_2013.tif,0.74,0.0,0.02,0.0,0.0,0.0,0.24,2013
5,10,Landuse_2013.tif,0.8,0.0,0.0,0.0,0.0,0.0,0.19,2013
2,11,Landuse_2013.tif,0.82,0.0,0.0,0.0,0.0,0.0,0.17,2013
3,11,Landuse_2013.tif,0.81,0.0,0.0,0.0,0.0,0.0,0.19,2013
4,11,Landuse_2013.tif,0.79,0.0,0.01,0.0,0.0,0.0,0.2,2013
2,12,Landuse_2013.tif,0.72,0.02,0.02,0.02,0.0,0.0,0.23,2013
3,12,Landuse_2013.tif,0.73,0.01,0.01,0.0,0.0,0.0,0.24,2013
4,12,Landuse_2013.tif,0.3,0.03,0.05,0.02,0.0,0.0,0.59,2013
2,13,Landuse_2013.tif,0.41,0.01,0.01,0.01,0.0,0.0,0.55,2013
6,0,Landuse_2014.tif,0.0,0.0,0.0,0.39,0.46,0.0,0.15,2014
7,0,Landuse_2014.tif,0.0,0.0,0.0,0.18,0.62,0.0,0.2,2014
10,0,Landuse_2014.tif,0.0,0.0,0.02,0.06,0.19,0.0,0.73,2014
3,1,Landuse_2014.tif,0.01,0.01,0.0,0.39,0.31,0.0,0.28,2014
4,1,Landuse_2014.tif,0.05,0.01,0.02,0.52,0.14,0.0,0.28,2014
5,1,Landuse_2014.tif,0.05,0.01,0.01,0.39,0.36,0.0,0.18,2014
6,1,Landuse_2014.tif,0.01,0.01,0.01,0.31,0.44,0.0,0.22,2014
7,1,Landuse_2014.tif,0.01,0.0,0.0,0.08,0.48,0.0,0.43,2014
8,1,Landuse_2014.tif,0.0,0.0,0.0,0.09,0.61,0.0,0.3,2014
9,1,Landuse_2014.tif,0.0,0.0,0.01,0.0,0.52,0.0,0.47,2014
10,1,Landuse_2014.tif,0.0,0.0,0.0,0.02,0.19,0.0,0.79,2014
3,2,Landuse_2014.tif,0.0,0.0,0.0,0.49,0.2,0.0,0.32,2014
4,2,Landuse_2014.tif,0.01,0.01,0.01,0.62,0.08,0.0,0.27,2014
5,2,Landuse_2014.tif,0.02,0.0,0.02,0.43,0.24,0.0,0.29,2014
6,2,Landuse_2014.tif,0.0,0.0,0.0,0.6,0.22,0.0,0.17,2014
7,2,Landuse_2014.tif,0.0,0.0,0.0,0.65,0.11,0.0,0.24,2014
8,2,Landuse_2014.tif,0.0,0.0,0.0,0.35,0.29,0.0,0.36,2014
9,2,Landuse_2014.tif,0.0,0.0,0.01,0.07,0.28,0.0,0.64,2014
10,2,Landuse_2014.tif,0.0,0.0,0.0,0.19,0.23,0.0,0.57,2014
11,2,Landuse_2014.tif,0.01,0.01,0.05,0.28,0.0,0.3,0.34,2014
0,3,Landuse_2014.tif,0.56,0.05,0.05,0.01,0.01,0.01,0.31,2014
1,3,Landuse_2014.tif,0.01,0.0,0.02,0.13,0.68,0.01,0.15,2014
2,3,Landuse_2014.tif,0.0,0.0,0.01,0.36,0.29,0.0,0.34,2014
3,3,Landuse_2014.tif,0.0,0.0,0.0,0.34,0.36,0.0,0.3,2014
4,3,Landuse_2014.tif,0.0,0.0,0.0,0.75,0.06,0.0,0.19,2014
5,3,Landuse_2014.tif,0.06,0.01,0.01,0.42,0.11,0.0,0.4,2014
6,3,Landuse_2014.tif,0.02,0.0,0.01,0.24,0.23,0.0,0.5,2014
7,3,Landuse_2014.tif,0.01,0.01,0.0,0.52,0.03,0.0,0.43,2014
8,3,Landuse_2014.tif,0.01,0.0,0.0,0.38,0.15,0.0,0.46,2014
9,3,Landuse_2014.tif,0.01,0.0,0.0,0.18,0.14,0.0,0.67,2014
10,3,Landuse_2014.tif,0.05,0.0,0.01,0.06,0.01,0.0,0.87,2014
11,3,Landuse_2014.tif,0.13,0.02,0.05,0.29,0.0,0.02,0.49,2014
12,3,Landuse_2014.tif,0.14,0.01,0.04,0.53,0.01,0.05,0.23,2014
1,4,Landuse_2014.tif,0.17,0.03,0.04,0.05,0.18,0.2,0.33,2014
2,4,Landuse_2014.tif,0.0,0.0,0.02,0.07,0.44,0.12,0.34,2014
3,4,Landuse_2014.tif,0.0,0.0,0.0,0.29,0.57,0.0,0.13,2014
4,4,Landuse_2014.tif,0.0,0.0,0.0,0.59,0.16,0.0,0.24,2014
5,4,Landuse_2014.tif,0.01,0.0,0.0,0.32,0.42,0.0,0.24,2014
6,4,Landuse_2014.tif,0.02,0.01,0.01,0.18,0.29,0.0,0.5,2014
7,4,Landuse_2014.tif,0.03,0.01,0.01,0.42,0.08,0.0,0.46,2014
8,4,Landuse_2014.tif,0.05,0.0,0.0,0.3,0.02,0.0,0.63,2014
9,4,Landuse_2014.tif,0.07,0.0,0.01,0.08,0.01,0.0,0.82,2014
10,4,Landuse_2014.tif,0.03,0.01,0.01,0.01,0.0,0.0,0.93,2014
11,4,Landuse_2014.tif,0.09,0.02,0.03,0.15,0.0,0.01,0.7,2014
12,4,Landuse_2014.tif,0.51,0.08,0.07,0.11,0.0,0.03,0.18,2014
3,5,Landuse_2014.tif,0.0,0.0,0.0,0.2,0.38,0.13,0.28,2014
4,5,Landuse_2014.tif,0.0,0.0,0.0,0.38,0.42,0.0,0.2,2014
5,5,Landuse_2014.tif,0.0,0.0,0.0,0.21,0.53,0.0,0.26,2014
6,5,Landuse_2014.tif,0.01,0.0,0.0,0.34,0.13,0.0,0.52,2014
7,5,Landuse_2014.tif,0.06,0.01,0.01,0.19,0.03,0.0,0.71,2014
8,5,Landuse_2014.tif,0.0,0.0,0.0,0.43,0.01,0.0,0.56,2014
9,5,Landuse_2014.tif,0.02,0.0,0.01,0.41,0.01,0.0,0.55,2014
10,5,Landuse_2014.tif,0.12,0.01,0.01,0.04,0.0,0.01,0.81,2014
11,5,Landuse_2014.tif,0.17,0.03,0.04,0.29,0.0,0.04,0.42,2014
3,6,Landuse_2014.tif,0.08,0.03,0.14,0.06,0.02,0.43,0.25,2014
4,6,Landuse_2014.tif,0.0,0.0,0.0,0.25,0.49,0.01,0.25,2014
5,6,Landuse_2014.tif,0.0,0.0,0.0,0.37,0.33,0.0,0.29,2014
6,6,Landuse_2014.tif,0.0,0.0,0.0,0.41,0.3,0.0,0.29,2014
7,6,Landuse_2014.tif,0.0,0.0,0.0,0.08,0.08,0.0,0.83,2014
8,6,Landuse_2014.tif,0.1,0.01,0.02,0.2,0.01,0.0,0.66,2014
9,6,Landuse_2014.tif,0.0,0.0,0.0,0.57,0.0,0.0,0.43,2014
10,6,Landuse_2014.tif,0.04,0.04,0.04,0.44,0.0,0.07,0.37,2014
11,6,Landuse_2014.tif,0.46,0.16,0.1,0.03,0.0,0.04,0.2,2014
2,7,Landuse_2014.tif,0.58,0.15,0.18,0.0,0.0,0.01,0.07,2014
3,7,Landuse_2014.tif,0.0,0.01,0.23,0.11,0.01,0.23,0.41,2014
4,7,Landuse_2014.tif,0.08,0.09,0.11,0.18,0.04,0.24,0.26,2014
5,7,Landuse_2014.tif,0.0,0.0,0.0,0.32,0.23,0.03,0.41,2014
6,7,Landuse_2014.tif,0.0,0.0,0.0,0.09,0.51,0.0,0.4,2014
7,7,Landuse_2014.tif,0.0,0.0,0.0,0.35,0.17,0.0,0.47,2014
8,7,Landuse_2014.tif,0.01,0.0,0.0,0.54,0.0,0.03,0.42,2014
9,7,Landuse_2014.tif,0.11,0.0,0.05,0.29,0.0,0.06,0.49,2014
10,7,Landuse_2014.tif,0.25,0.02,0.03,0.34,0.0,0.07,0.29,2014
11,7,Landuse_2014.tif,0.79,0.03,0.03,0.01,0.0,0.01,0.13,2014
2,8,Landuse_2014.tif,0.34,0.14,0.06,0.01,0.0,0.0,0.45,2014
3,8,Landuse_2014.tif,0.02,0.22,0.26,0.01,0.0,0.02,0.47,2014
4,8,Landuse_2014.tif,0.34,0.1,0.24,0.07,0.0,0.08,0.17,2014
5,8,Landuse_2014.tif,0.08,0.03,0.22,0.04,0.21,0.16,0.27,2014
6,8,Landuse_2014.tif,0.0,0.0,0.0,0.19,0.52,0.0,0.3,2014
7,8,Landuse_2014.tif,0.14,0.08,0.02,0.32,0.04,0.17,0.24,2014
8,8,Landuse_2014.tif,0.32,0.03,0.01,0.05,0.0,0.42,0.17,2014
9,8,Landuse_2014.tif,0.21,0.02,0.08,0.08,0.0,0.42,0.19,2014
2,9,Landuse_2014.tif,0.14,0.05,0.02,0.03,0.0,0.11,0.65,2014
3,9,Landuse_2014.tif,0.7,0.1,0.01,0.0,0.0,0.0,0.19,2014
4,9,Landuse_2014.tif,0.86,0.04,0.02,0.03,0.0,0.02,0.04,2014
5,9,Landuse_2014.tif,0.47,0.02,0.03,0.28,0.03,0.02,0.14,2014
6,9,Landuse_2014.tif,0.25,0.01,0.01,0.46,0.0,0.05,0.21,2014
7,9,Landuse_2014.tif,0.57,0.04,0.04,0.04,0.01,0.12,0.18,2014
8,9,Landuse_2014.tif,0.8,0.01,0.03,0.0,0.0,0.0,0.16,2014
2,10,Landuse_2014.tif,0.13,0.02,0.01,0.06,0.21,0.12,0.44,2014
3,10,Landuse_2014.tif,0.59,0.07,0.04,0.01,0.05,0.05,0.19,2014
4,10,Landuse_2014.tif,0.93,0.01,0.02,0.0,0.0,0.0,0.04,2014
5,10,Landuse_2014.tif,0.98,0.01,0.0,0.0,0.0,0.0,0.01,2014
2,11,Landuse_2014.tif,0.98,0.01,0.0,0.0,0.0,0.0,0.01,2014
3,11,Landuse_2014.tif,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
4,11,Landuse_2014.tif,0.94,0.01,0.01,0.0,0.0,0.0,0.04,2014
2,12,Landuse_2014.tif,0.77,0.11,0.01,0.0,0.0,0.0,0.11,2014
3,12,Landuse_2014.tif,0.8,0.07,0.01,0.0,0.0,0.0,0.11,2014
4,12,Landuse_2014.tif,0.28,0.08,0.03,0.01,0.0,0.0,0.59,2014
2,13,Landuse_2014.tif,0.55,0.21,0.01,0.01,0.0,0.0,0.22,2014
6,0,Landuse_2015.tif,0.02,0.0,0.0,0.42,0.42,0.0,0.15,2015
7,0,Landuse_2015.tif,0.02,0.0,0.0,0.26,0.53,0.0,0.19,2015
10,0,Landuse_2015.tif,0.01,0.0,0.02,0.14,0.01,0.07,0.75,2015
3,1,Landuse_2015.tif,0.03,0.0,0.0,0.33,0.34,0.0,0.3,2015
4,1,Landuse_2015.tif,0.05,0.02,0.0,0.59,0.04,0.0,0.29,2015
5,1,Landuse_2015.tif,0.01,0.01,0.01,0.37,0.36,0.0,0.23,2015
6,1,Landuse_2015.tif,0.0,0.0,0.01,0.4,0.35,0.0,0.24,2015
7,1,Landuse_2015.tif,0.0,0.0,0.0,0.22,0.34,0.0,0.44,2015
8,1,Landuse_2015.tif,0.0,0.0,0.0,0.47,0.2,0.03,0.3,2015
9,1,Landuse_2015.tif,0.01,0.0,0.03,0.3,0.01,0.17,0.48,2015
10,1,Landuse_2015.tif,0.0,0.0,0.01,0.05,0.0,0.16,0.78,2015
3,2,Landuse_2015.tif,0.0,0.0,0.0,0.52,0.17,0.0,0.3,2015
4,2,Landuse_2015.tif,0.01,0.01,0.0,0.63,0.06,0.0,0.28,2015
5,2,Landuse_2015.tif,0.03,0.01,0.0,0.44,0.2,0.0,0.31,2015
6,2,Landuse_2015.tif,0.0,0.0,0.0,0.69,0.13,0.0,0.17,2015
7,2,Landuse_2015.tif,0.0,0.0,0.0,0.71,0.05,0.0,0.24,2015
8,2,Landuse_2015.tif,0.0,0.0,0.0,0.55,0.08,0.0,0.36,2015
9,2,Landuse_2015.tif,0.0,0.0,0.02,0.25,0.02,0.04,0.66,2015
10,2,Landuse_2015.tif,0.0,0.0,0.0,0.23,0.0,0.2,0.57,2015
11,2,Landuse_2015.tif,0.01,0.01,0.01,0.21,0.0,0.42,0.35,2015
0,3,Landuse_2015.tif,0.52,0.01,0.03,0.0,0.0,0.11,0.33,2015
1,3,Landuse_2015.tif,0.01,0.0,0.04,0.34,0.01,0.44,0.17,2015
2,3,Landuse_2015.tif,0.0,0.0,0.01,0.55,0.03,0.04,0.37,2015
3,3,Landuse_2015.tif,0.0,0.0,0.0,0.43,0.27,0.0,0.3,2015
4,3,Landuse_2015.tif,0.0,0.0,0.0,0.74,0.06,0.0,0.19,2015
5,3,Landuse_2015.tif,0.05,0.01,0.0,0.44,0.07,0.0,0.43,2015
6,3,Landuse_2015.tif,0.02,0.02,0.0,0.4,0.04,0.0,0.51,2015
7,3,Landuse_2015.tif,0.02,0.0,0.0,0.53,0.01,0.0,0.44,2015
8,3,Landuse_2015.tif,0.01,0.01,0.0,0.52,0.0,0.0,0.47,2015
9,3,Landuse_2015.tif,0.0,0.0,0.0,0.33,0.0,0.0,0.66,2015
10,3,Landuse_2015.tif,0.04,0.01,0.0,0.02,0.0,0.0,0.92,2015
11,3,Landuse_2015.tif,0.12,0.01,0.02,0.21,0.0,0.08,0.56,2015
12,3,Landuse_2015.tif,0.13,0.02,0.01,0.18,0.0,0.43,0.24,2015
1,4,Landuse_2015.tif,0.2,0.01,0.03,0.04,0.0,0.4,0.33,2015
2,4,Landuse_2015.tif,0.01,0.0,0.02,0.08,0.0,0.56,0.34,2015
3,4,Landuse_2015.tif,0.0,0.0,0.0,0.56,0.19,0.11,0.13,2015
4,4,Landuse_2015.tif,0.0,0.0,0.0,0.66,0.1,0.0,0.24,2015
5,4,Landuse_2015.tif,0.01,0.0,0.0,0.65,0.08,0.0,0.25,2015
6,4,Landuse_2015.tif,0.03,0.02,0.0,0.4,0.03,0.0,0.52,2015
7,4,Landuse_2015.tif,0.03,0.01,0.0,0.48,0.0,0.0,0.47,2015
8,4,Landuse_2015.tif,0.04,0.02,0.0,0.31,0.01,0.0,0.62,2015
9,4,Landuse_2015.tif,0.06,0.04,0.0,0.08,0.0,0.0,0.82,2015
10,4,Landuse_2015.tif,0.01,0.02,0.0,0.01,0.0,0.0,0.95,2015
11,4,Landuse_2015.tif,0.07,0.03,0.0,0.11,0.0,0.04,0.74,2015
12,4,Landuse_2015.tif,0.49,0.01,0.01,0.03,0.0,0.13,0.33,2015
3,5,Landuse_2015.tif,0.01,0.0,0.0,0.35,0.02,0.34,0.28,2015
4,5,Landuse_2015.tif,0.0,0.0,0.0,0.76,0.04,0.0,0.2,2015
5,5,Landuse_2015.tif,0.0,0.0,0.0,0.7,0.03,0.0,0.26,2015
6,5,Landuse_2015.tif,0.01,0.0,0.0,0.45,0.0,0.0,0.53,2015
7,5,Landuse_2015.tif,0.06,0.01,0.0,0.21,0.0,0.0,0.71,2015
8,5,Landuse_2015.tif,0.0,0.0,0.0,0.44,0.0,0.0,0.56,2015
9,5,Landuse_2015.tif,0.01,0.01,0.0,0.42,0.0,0.0,0.55,2015
10,5,Landuse_2015.tif,0.1,0.03,0.0,0.03,0.0,0.01,0.82,2015
11,5,Landuse_2015.tif,0.19,0.01,0.0,0.25,0.0,0.05,0.5,2015
3,6,Landuse_2015.tif,0.19,0.03,0.02,0.02,0.0,0.5,0.25,2015
4,6,Landuse_2015.tif,0.0,0.0,0.0,0.45,0.18,0.12,0.25,2015
5,6,Landuse_2015.tif,0.0,0.0,0.0,0.66,0.04,0.0,0.3,2015
6,6,Landuse_2015.tif,0.0,0.0,0.0,0.6,0.09,0.0,0.31,2015
7,6,Landuse_2015.tif,0.0,0.0,0.0,0.08,0.04,0.0,0.88,2015
8,6,Landuse_2015.tif,0.1,0.03,0.0,0.2,0.0,0.0,0.67,2015
9,6,Landuse_2015.tif,0.0,0.0,0.0,0.55,0.0,0.0,0.44,2015
10,6,Landuse_2015.tif,0.04,0.01,0.01,0.44,0.0,0.1,0.41,2015
11,6,Landuse_2015.tif,0.6,0.03,0.02,0.01,0.0,0.07,0.27,2015
2,7,Landuse_2015.tif,0.95,0.01,0.0,0.0,0.0,0.0,0.04,2015
3,7,Landuse_2015.tif,0.14,0.02,0.07,0.01,0.0,0.31,0.45,2015
4,7,Landuse_2015.tif,0.14,0.01,0.04,0.02,0.0,0.51,0.29,2015
5,7,Landuse_2015.tif,0.0,0.0,0.01,0.36,0.1,0.16,0.38,2015
6,7,Landuse_2015.tif,0.0,0.0,0.0,0.15,0.44,0.0,0.41,2015
7,7,Landuse_2015.tif,0.0,0.0,0.0,0.45,0.07,0.0,0.48,2015
8,7,Landuse_2015.tif,0.01,0.0,0.0,0.5,0.0,0.06,0.42,2015
9,7,Landuse_2015.tif,0.12,0.02,0.0,0.22,0.0,0.16,0.48,2015
10,7,Landuse_2015.tif,0.26,0.01,0.0,0.36,0.0,0.05,0.32,2015
11,7,Landuse_2015.tif,0.75,0.01,0.0,0.01,0.0,0.01,0.22,2015
2,8,Landuse_2015.tif,0.48,0.02,0.01,0.0,0.0,0.0,0.49,2015
3,8,Landuse_2015.tif,0.43,0.02,0.03,0.0,0.0,0.07,0.44,2015
4,8,Landuse_2015.tif,0.63,0.02,0.04,0.0,0.0,0.21,0.11,2015
5,8,Landuse_2015.tif,0.27,0.0,0.16,0.11,0.08,0.15,0.23,2015
6,8,Landuse_2015.tif,0.0,0.0,0.0,0.33,0.3,0.06,0.3,2015
7,8,Landuse_2015.tif,0.09,0.05,0.01,0.33,0.01,0.24,0.26,2015
8,8,Landuse_2015.tif,0.32,0.01,0.01,0.01,0.0,0.47,0.18,2015
9,8,Landuse_2015.tif,0.2,0.02,0.0,0.07,0.0,0.49,0.21,2015
2,9,Landuse_2015.tif,0.19,0.01,0.02,0.01,0.0,0.12,0.65,2015
3,9,Landuse_2015.tif,0.8,0.0,0.01,0.0,0.0,0.0,0.19,2015
4,9,Landuse_2015.tif,0.89,0.02,0.0,0.0,0.0,0.05,0.04,2015
5,9,Landuse_2015.tif,0.51,0.0,0.0,0.3,0.0,0.04,0.14,2015
6,9,Landuse_2015.tif,0.24,0.0,0.0,0.43,0.0,0.1,0.22,2015
7,9,Landuse_2015.tif,0.53,0.01,0.02,0.0,0.0,0.21,0.23,2015
8,9,Landuse_2015.tif,0.75,0.01,0.0,0.0,0.0,0.0,0.24,2015
2,10,Landuse_2015.tif,0.12,0.01,0.01,0.07,0.0,0.41,0.39,2015
3,10,Landuse_2015.tif,0.62,0.01,0.01,0.04,0.0,0.1,0.21,2015
4,10,Landuse_2015.tif,0.91,0.0,0.0,0.0,0.0,0.01,0.07,2015
5,10,Landuse_2015.tif,0.97,0.0,0.0,0.0,0.0,0.0,0.02,2015
2,11,Landuse_2015.tif,0.97,0.0,0.0,0.0,0.0,0.0,0.03,2015
3,11,Landuse_2015.tif,0.98,0.0,0.0,0.0,0.0,0.0,0.02,2015
4,11,Landuse_2015.tif,0.93,0.0,0.0,0.0,0.0,0.0,0.06,2015
2,12,Landuse_2015.tif,0.74,0.01,0.02,0.0,0.0,0.0,0.23,2015
3,12,Landuse_2015.tif,0.75,0.0,0.02,0.0,0.0,0.0,0.22,2015
4,12,Landuse_2015.tif,0.3,0.02,0.22,0.01,0.0,0.01,0.46,2015
2,13,Landuse_2015.tif,0.35,0.02,0.02,0.01,0.0,0.0,0.6,2015
6,0,Landuse_2016.tif,0.02,0.0,0.0,0.36,0.47,0.0,0.15,2016
7,0,Landuse_2016.tif,0.02,0.0,0.0,0.2,0.57,0.0,0.2,2016
10,0,Landuse_2016.tif,0.01,0.0,0.0,0.18,0.0,0.22,0.58,2016
3,1,Landuse_2016.tif,0.02,0.01,0.0,0.33,0.33,0.0,0.3,2016
4,1,Landuse_2016.tif,0.03,0.02,0.0,0.58,0.06,0.0,0.3,2016
5,1,Landuse_2016.tif,0.01,0.0,0.02,0.31,0.43,0.0,0.23,2016
6,1,Landuse_2016.tif,0.0,0.0,0.01,0.47,0.29,0.0,0.23,2016
7,1,Landuse_2016.tif,0.0,0.0,0.0,0.33,0.24,0.0,0.43,2016
8,1,Landuse_2016.tif,0.0,0.0,0.0,0.56,0.08,0.06,0.3,2016
9,1,Landuse_2016.tif,0.01,0.0,0.01,0.29,0.0,0.25,0.44,2016
10,1,Landuse_2016.tif,0.0,0.0,0.01,0.01,0.0,0.24,0.74,2016
3,2,Landuse_2016.tif,0.0,0.0,0.0,0.55,0.16,0.01,0.28,2016
4,2,Landuse_2016.tif,0.0,0.01,0.0,0.66,0.04,0.0,0.28,2016
5,2,Landuse_2016.tif,0.02,0.01,0.0,0.43,0.22,0.0,0.32,2016
6,2,Landuse_2016.tif,0.0,0.0,0.0,0.69,0.13,0.0,0.17,2016
7,2,Landuse_2016.tif,0.0,0.0,0.0,0.71,0.06,0.0,0.23,2016
8,2,Landuse_2016.tif,0.0,0.0,0.0,0.61,0.03,0.01,0.36,2016
9,2,Landuse_2016.tif,0.0,0.0,0.01,0.27,0.01,0.1,0.6,2016
10,2,Landuse_2016.tif,0.0,0.0,0.0,0.23,0.0,0.23,0.53,2016
11,2,Landuse_2016.tif,0.01,0.0,0.04,0.2,0.0,0.4,0.35,2016
0,3,Landuse_2016.tif,0.35,0.03,0.02,0.01,0.0,0.12,0.46,2016
1,3,Landuse_2016.tif,0.01,0.0,0.02,0.32,0.0,0.5,0.15,2016
2,3,Landuse_2016.tif,0.0,0.0,0.01,0.57,0.03,0.04,0.35,2016
3,3,Landuse_2016.tif,0.0,0.0,0.0,0.51,0.2,0.01,0.27,2016
4,3,Landuse_2016.tif,0.0,0.0,0.0,0.75,0.05,0.0,0.19,2016
5,3,Landuse_2016.tif,0.03,0.01,0.01,0.46,0.06,0.0,0.44,2016
6,3,Landuse_2016.tif,0.01,0.01,0.0,0.42,0.04,0.0,0.52,2016
7,3,Landuse_2016.tif,0.01,0.0,0.0,0.53,0.0,0.0,0.45,2016
8,3,Landuse_2016.tif,0.01,0.0,0.0,0.5,0.0,0.0,0.48,2016
9,3,Landuse_2016.tif,0.0,0.0,0.0,0.33,0.0,0.0,0.66,2016
10,3,Landuse_2016.tif,0.04,0.01,0.0,0.03,0.0,0.0,0.92,2016
11,3,Landuse_2016.tif,0.12,0.01,0.05,0.24,0.0,0.05,0.53,2016
12,3,Landuse_2016.tif,0.12,0.01,0.01,0.25,0.0,0.38,0.24,2016
1,4,Landuse_2016.tif,0.14,0.01,0.04,0.04,0.0,0.43,0.35,2016
2,4,Landuse_2016.tif,0.0,0.0,0.02,0.27,0.0,0.39,0.32,2016
3,4,Landuse_2016.tif,0.0,0.0,0.0,0.77,0.1,0.02,0.11,2016
4,4,Landuse_2016.tif,0.0,0.0,0.0,0.71,0.06,0.0,0.23,2016
5,4,Landuse_2016.tif,0.01,0.0,0.0,0.69,0.04,0.0,0.25,2016
6,4,Landuse_2016.tif,0.03,0.02,0.0,0.41,0.02,0.0,0.53,2016
7,4,Landuse_2016.tif,0.02,0.0,0.0,0.51,0.0,0.0,0.47,2016
8,4,Landuse_2016.tif,0.04,0.01,0.0,0.32,0.01,0.0,0.62,2016
9,4,Landuse_2016.tif,0.05,0.02,0.0,0.07,0.01,0.0,0.85,2016
10,4,Landuse_2016.tif,0.02,0.01,0.0,0.01,0.0,0.0,0.95,2016
11,4,Landuse_2016.tif,0.07,0.02,0.0,0.1,0.0,0.05,0.76,2016
12,4,Landuse_2016.tif,0.42,0.02,0.01,0.03,0.0,0.12,0.4,2016
3,5,Landuse_2016.tif,0.01,0.0,0.0,0.37,0.0,0.34,0.28,2016
4,5,Landuse_2016.tif,0.0,0.0,0.0,0.77,0.03,0.01,0.19,2016
5,5,Landuse_2016.tif,0.0,0.0,0.0,0.73,0.01,0.0,0.26,2016
6,5,Landuse_2016.tif,0.01,0.0,0.0,0.44,0.0,0.0,0.54,2016
7,5,Landuse_2016.tif,0.05,0.01,0.0,0.23,0.0,0.0,0.71,2016
8,5,Landuse_2016.tif,0.0,0.0,0.0,0.43,0.0,0.0,0.56,2016
9,5,Landuse_2016.tif,0.01,0.01,0.0,0.42,0.01,0.01,0.54,2016
10,5,Landuse_2016.tif,0.09,0.02,0.0,0.03,0.0,0.02,0.84,2016
11,5,Landuse_2016.tif,0.15,0.01,0.0,0.11,0.0,0.16,0.56,2016
3,6,Landuse_2016.tif,0.21,0.06,0.0,0.03,0.0,0.41,0.29,2016
4,6,Landuse_2016.tif,0.0,0.0,0.0,0.27,0.14,0.34,0.25,2016
5,6,Landuse_2016.tif,0.0,0.0,0.0,0.68,0.03,0.01,0.28,2016
6,6,Landuse_2016.tif,0.0,0.0,0.0,0.61,0.09,0.0,0.29,2016
7,6,Landuse_2016.tif,0.0,0.0,0.0,0.1,0.03,0.0,0.86,2016
8,6,Landuse_2016.tif,0.08,0.02,0.0,0.19,0.0,0.0,0.7,2016
9,6,Landuse_2016.tif,0.0,0.0,0.0,0.5,0.02,0.02,0.46,2016
10,6,Landuse_2016.tif,0.04,0.02,0.0,0.19,0.0,0.34,0.42,2016
11,6,Landuse_2016.tif,0.56,0.03,0.0,0.02,0.0,0.04,0.36,2016
2,7,Landuse_2016.tif,0.82,0.01,0.0,0.0,0.0,0.0,0.17,2016
3,7,Landuse_2016.tif,0.23,0.04,0.01,0.06,0.0,0.22,0.44,2016
4,7,Landuse_2016.tif,0.17,0.03,0.01,0.06,0.0,0.41,0.33,2016
5,7,Landuse_2016.tif,0.0,0.0,0.0,0.3,0.09,0.27,0.34,2016
6,7,Landuse_2016.tif,0.0,0.0,0.0,0.15,0.46,0.0,0.39,2016
7,7,Landuse_2016.tif,0.0,0.0,0.0,0.42,0.12,0.01,0.44,2016
8,7,Landuse_2016.tif,0.01,0.0,0.0,0.35,0.0,0.22,0.42,2016
9,7,Landuse_2016.tif,0.1,0.02,0.0,0.08,0.0,0.32,0.49,2016
10,7,Landuse_2016.tif,0.22,0.01,0.0,0.21,0.0,0.15,0.41,2016
11,7,Landuse_2016.tif,0.71,0.01,0.01,0.0,0.0,0.01,0.26,2016
2,8,Landuse_2016.tif,0.42,0.02,0.0,0.01,0.0,0.0,0.55,2016
3,8,Landuse_2016.tif,0.4,0.02,0.02,0.0,0.0,0.01,0.56,2016
4,8,Landuse_2016.tif,0.43,0.07,0.0,0.02,0.0,0.14,0.34,2016
5,8,Landuse_2016.tif,0.18,0.06,0.01,0.01,0.0,0.49,0.25,2016
6,8,Landuse_2016.tif,0.0,0.0,0.0,0.2,0.04,0.46,0.3,2016
7,8,Landuse_2016.tif,0.17,0.01,0.0,0.27,0.0,0.26,0.28,2016
8,8,Landuse_2016.tif,0.24,0.01,0.0,0.0,0.0,0.46,0.29,2016
9,8,Landuse_2016.tif,0.21,0.02,0.0,0.0,0.0,0.53,0.25,2016
2,9,Landuse_2016.tif,0.17,0.01,0.03,0.01,0.0,0.1,0.68,2016
3,9,Landuse_2016.tif,0.62,0.01,0.01,0.0,0.0,0.0,0.36,2016
4,9,Landuse_2016.tif,0.77,0.01,0.0,0.0,0.0,0.04,0.17,2016
5,9,Landuse_2016.tif,0.44,0.01,0.0,0.26,0.0,0.06,0.24,2016
6,9,Landuse_2016.tif,0.2,0.01,0.0,0.38,0.0,0.14,0.27,2016
7,9,Landuse_2016.tif,0.48,0.01,0.01,0.0,0.0,0.2,0.3,2016
8,9,Landuse_2016.tif,0.66,0.02,0.0,0.0,0.0,0.0,0.31,2016
2,10,Landuse_2016.tif,0.11,0.01,0.01,0.09,0.0,0.38,0.39,2016
3,10,Landuse_2016.tif,0.48,0.01,0.0,0.03,0.0,0.1,0.37,2016
4,10,Landuse_2016.tif,0.76,0.01,0.0,0.0,0.0,0.0,0.22,2016
5,10,Landuse_2016.tif,0.79,0.0,0.0,0.0,0.0,0.0,0.21,2016
2,11,Landuse_2016.tif,0.83,0.0,0.0,0.0,0.0,0.0,0.17,2016
3,11,Landuse_2016.tif,0.8,0.0,0.0,0.0,0.0,0.0,0.2,2016
