x_coord,y_coord,image_source,water_percentage,date,year
5,6,Flood_2000_169.tif,0.0,169,2000
6,6,Flood_2000_169.tif,0.01,169,2000
7,6,Flood_2000_169.tif,0.03,169,2000
8,6,Flood_2000_169.tif,0.25,169,2000
9,6,Flood_2000_169.tif,0.08,169,2000
10,6,Flood_2000_169.tif,0.09,169,2000
11,6,Flood_2000_169.tif,0.41,169,2000
2,7,Flood_2000_169.tif,0.31,169,2000
3,7,Flood_2000_169.tif,0.07,169,2000
4,7,Flood_2000_169.tif,0.04,169,2000
5,7,Flood_2000_169.tif,0.07,169,2000
6,7,Flood_2000_169.tif,0.05,169,2000
7,7,Flood_2000_169.tif,0.01,169,2000
8,7,Flood_2000_169.tif,0.02,169,2000
9,7,Flood_2000_169.tif,0.19,169,2000
10,7,Flood_2000_169.tif,0.15,169,2000
11,7,Flood_2000_169.tif,0.35,169,2000
2,8,Flood_2000_169.tif,0.19,169,2000
3,8,Flood_2000_169.tif,0.07,169,2000
4,8,Flood_2000_169.tif,0.05,169,2000
5,8,Flood_2000_169.tif,0.29,169,2000
6,8,Flood_2000_169.tif,0.32,169,2000
7,8,Flood_2000_169.tif,0.15,169,2000
8,8,Flood_2000_169.tif,0.26,169,2000
9,8,Flood_2000_169.tif,0.17,169,2000
2,9,Flood_2000_169.tif,0.14,169,2000
3,9,Flood_2000_169.tif,0.27,169,2000
4,9,Flood_2000_169.tif,0.36,169,2000
5,9,Flood_2000_169.tif,0.2,169,2000
6,9,Flood_2000_169.tif,0.21,169,2000
7,9,Flood_2000_169.tif,0.44,169,2000
8,9,Flood_2000_169.tif,0.42,169,2000
2,10,Flood_2000_169.tif,0.1,169,2000
3,10,Flood_2000_169.tif,0.13,169,2000
4,10,Flood_2000_169.tif,0.42,169,2000
5,10,Flood_2000_169.tif,0.59,169,2000
2,11,Flood_2000_169.tif,0.18,169,2000
3,11,Flood_2000_169.tif,0.28,169,2000
4,11,Flood_2000_169.tif,0.53,169,2000
2,12,Flood_2000_169.tif,0.51,169,2000
3,12,Flood_2000_169.tif,0.45,169,2000
